country,iso3,year,population,life_expectancy,inflation_rate,NY.GDP.PCAP.CD
Switzerland,CHE,1962,5573815,71.1960975609756,4.3159928775438,2330.47736501501
Switzerland,CHE,1963,5694247,71.1875609756098,3.44021288042959,2508.47430732203
Switzerland,CHE,1964,5789228,72.0778048780488,3.08055687101809,2734.93009044177
Switzerland,CHE,1965,5856472,72.2017073170732,3.41447860846187,2865.2448479366
Switzerland,CHE,1966,5918002,72.3356097560976,4.77597959563684,3044.84560389449
Switzerland,CHE,1967,5991785,72.6365853658537,4.00519621563881,3237.27315217356
Switzerland,CHE,1968,6067714,72.590243902439,2.39582226957009,3413.49358157003
Switzerland,CHE,1969,6136387,72.6126829268293,2.48903598959373,3657.20794240553
Switzerland,CHE,1970,6180877,73.020243902439,3.61598678629523,4044.42068227245
Switzerland,CHE,1971,6213399,73.1307317073171,6.57322111925784,4834.74049399485
Switzerland,CHE,1972,6260956,73.6443902439024,6.66000704160245,5884.77524107186
Switzerland,CHE,1973,6307347,73.9409756097561,8.75467033024632,7855.91887040854
Switzerland,CHE,1974,6341405,74.2870731707317,9.76741431913026,9004.788599
Switzerland,CHE,1975,6338632,74.6656097560976,6.69659522507838,10328.1089388433
Switzerland,CHE,1976,6302504,74.7853658536585,1.71547632285652,10864.971231108
Switzerland,CHE,1977,6281174,75.2380487804878,1.29599916278313,11643.6467397732
Switzerland,CHE,1978,6281738,75.1873170731707,1.02879289487429,16282.1932458492
Switzerland,CHE,1979,6294365,75.4660975609756,3.64764010558783,18265.5588649103
Switzerland,CHE,1980,6319408,75.4592682926829,4.0225008483901,19393.8805480097
Switzerland,CHE,1981,6354074,75.6931707317073,6.49030964005718,17665.0138979789
Switzerland,CHE,1982,6391309,76.0339024390244,5.65510182392342,17999.969257078
Switzerland,CHE,1983,6418773,76.0312195121951,2.94979443545724,17859.2323695837
Switzerland,CHE,1984,6441865,76.6085365853659,2.93145669136624,16991.2458841517
Switzerland,CHE,1985,6470365,76.7336585365854,3.43539935298265,17152.0948495991
Switzerland,CHE,1986,6504124,76.8990243902439,0.750309839410827,24459.8536348433
Switzerland,CHE,1987,6545106,77.1975609756098,1.44032188041723,30440.5108240499
Switzerland,CHE,1988,6593386,77.2265853658537,1.87246859731866,32690.4302734561
Switzerland,CHE,1989,6646912,77.4212195121951,3.15526979710909,31308.6508343136
Switzerland,CHE,1990,6715519,77.2424390243902,5.40395909218937,39574.5398083788
